Rank,Program,Location,Specialty,SourceFile,city,state_id,lat,lng,population,density,geographic US location
11.0,UCLA David Geffen School of Medicine/UCLA Medical Center,"Los Angeles, CA",Internal Medicine,NYU_match_list.csv,Los Angeles,CA,34.1141,-118.4068,11885717.0,3165.8,Pacific West
13.0,University of Washington,"Seattle, WA",Internal Medicine,NYU_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,Pacific West
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
15.0,Vanderbilt University Medical Center,"Nashville, TN",Internal Medicine,NYU_match_list.csv,Nashville,TN,36.1715,-86.7842,1178679.0,555.6,East South Central
17.0,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
17.0,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
19.0,Stanford Health Care-Sponsored Stanford University,"Stanford, CA",Internal Medicine,NYU_match_list.csv,Stanford,CA,37.4252,-122.1674,17958.0,2520.9,Pacific West
20.0,Beth Israel Deaconess Medical Center,"Boston, MA",Internal Medicine,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
32.0,University of Colorado,"Aurora, CO",Internal Medicine,NYU_match_list.csv,Aurora,CO,39.7083,-104.7237,390201.0,924.2,Mountain West
32.0,University of Colorado,"Aurora, CO",Internal Medicine,NYU_match_list.csv,Aurora,CO,39.7083,-104.7237,390201.0,924.2,Mountain West
346.0,Virginia Mason Franciscan Health,"Seattle, WA",Internal Medicine,NYU_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,Pacific West
1.0,Barrow Neurological Institute at St Joseph's Hospital and Medical Center,"Phoenix, AZ",Neurological Surgery,NYU_match_list.csv,Phoenix,AZ,33.5722,-112.0892,4065338.0,1210.3,Mountain West
1.0,University of California (San Francisco),"San Francisco, CA",Neurology,NYU_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,Pacific West
8.0,University of Michigan,"Ann Arbor, MI",Neurology,NYU_match_list.csv,Ann Arbor,MI,42.2759,-83.731,314647.0,1651.5,East North Central
9.0,NYU Grossman School of Medicine,"New York, NY",Neurology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
22.0,New York Presbyterian Hospital (Cornell Campus),"New York, NY",Neurology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
30.0,Montefiore Medical Center/Albert Einstein College of Medicine,"Bronx, NY",Neurology,NYU_match_list.csv,Bronx,NY,40.8501,-73.8662,1472654.0,13356.3,Middle Atlantic
1.0,McGaw Medical Center of Northwestern University,"Chicago, IL",Obstetrics and Gynecology,NYU_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,East North Central
11.0,NYU Grossman School of Medicine,"New York, NY",Obstetrics and Gynecology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
11.0,NYU Grossman School of Medicine,"New York, NY",Obstetrics and Gynecology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
22.0,Montefiore Medical Center/Albert Einstein College of Medicine,"Bronx, NY",Obstetrics and Gynecology,NYU_match_list.csv,Bronx,NY,40.8501,-73.8662,1472654.0,13356.3,Middle Atlantic
66.0,NYU Grossman Long Island School of Medicine,"Mineola, NY",Obstetrics and Gynecology,NYU_match_list.csv,Mineola,NY,40.747,-73.6394,21082.0,4397.2,Middle Atlantic
114.0,Temple University Hospital,"Philadelphia, PA",Obstetrics and Gynecology,NYU_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
122.0,Kaiser Permanente Northern California (Oakland),"Oakland, CA",Obstetrics and Gynecology,NYU_match_list.csv,Oakland,CA,37.7904,-122.2166,438072.0,3022.3,Pacific West
1.0,Hospital for Special Surgery/Cornell Medical Center,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
34.0,Oregon Health & Science University (OHSU Health),"Portland, OR",Otolaryngology,NYU_match_list.csv,Portland,OR,45.5371,-122.65,2084045.0,1859.0,Pacific West
41.0,NYU Grossman School of Medicine,"New York, NY",Otolaryngology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
42.0,New York Presbyterian Hospital (Columbia and Cornell Campus),"New York, NY",Otolaryngology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
28.0,NYU Grossman School of Medicine,"New York, NY",Pathology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
1.0,Children's Hospital of Philadelphia,"Philadelphia, PA",Pediatrics,NYU_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
2.0,Boston Children's Hospital/Boston Medical Center,"Boston, MA",Pediatrics,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
5.0,University of Washington,"Seattle, WA",Pediatrics,NYU_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,Pacific West
8.0,Children's National Hospital,"Washington, DC",Pediatrics,NYU_match_list.csv,Washington,DC,38.9047,-77.0163,5146120.0,4245.2,South Atlantic
27.0,UCLA David Geffen School of Medicine/UCLA Medical Center,"Los Angeles, CA",Pediatrics,NYU_match_list.csv,Los Angeles,CA,34.1141,-118.4068,11885717.0,3165.8,Pacific West
55.0,New York Presbyterian Hospital (Cornell Campus),"New York, NY",Pediatrics,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
56.0,Zucker School of Medicine at Hofstra/Northwell at Cohen Children's Medical Center,"New Hyde Park, NY",Pediatrics,NYU_match_list.csv,New Hyde Park,NY,40.7323,-73.6858,10208.0,4649.1,Middle Atlantic
1.0,NYU Grossman School of Medicine,"New York, NY",Plastic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
12.0,Ohio State University Hospital,"Columbus, OH",Plastic Surgery,NYU_match_list.csv,Columbus,OH,39.9862,-82.9855,1578153.0,1585.7,East North Central
17.0,Baylor College of Medicine,"Houston, TX",Plastic Surgery,NYU_match_list.csv,Houston,TX,29.786,-95.3885,6046392.0,1386.5,West South Central
57.0,Oregon Health & Science University (OHSU Health),"Portland, OR",Plastic Surgery,NYU_match_list.csv,Portland,OR,45.5371,-122.65,2084045.0,1859.0,Pacific West
1.0,Mass General Brigham/Massachusetts General Hospital/McLean Hospital,"Boston, MA",Psychiatry,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
2.0,New York Presbyterian Hospital (Columbia Campus)/New York State Psychiatric Institute,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
5.0,NYU Grossman School of Medicine,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
5.0,NYU Grossman School of Medicine,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
5.0,NYU Grossman School of Medicine,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
24.0,McGaw Medical Center of Northwestern University,"Chicago, IL",Psychiatry,NYU_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,East North Central
42.0,Icahn School of Medicine at Mount Sinai/Morningside/West,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
34.0,NYU Grossman School of Medicine,"New York, NY",Vascular Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
2.0,University of California (San Francisco),"San Francisco, CA",Anesthesiology,UPenn_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,Pacific West
3.0,Stanford Health Care-Sponsored Stanford University,"Stanford, CA",Anesthesiology,UPenn_match_list.csv,Stanford,CA,37.4252,-122.1674,17958.0,2520.9,Pacific West
4.0,Mass General Brigham/Brigham and Women's Hospital,"Boston, MA",Anesthesiology,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Anesthesiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Anesthesiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Anesthesiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Anesthesiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Anesthesiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
20.0,New York Presbyterian Hospital (Cornell Campus),"New York, NY",Anesthesiology,UPenn_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,Middle Atlantic
24.0,Beth Israel Deaconess Medical Center,"Boston, MA",Anesthesiology,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
111.0,Brown University/Rhode Island Hospital-Lifespan,"Providence, RI",Anesthesiology,UPenn_match_list.csv,Providence,RI,41.823,-71.4187,1270529.0,3990.1,New England
18.0,Mass General Brigham/Massachusetts General Hospital,"Boston, MA",Child Neurology,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
1.0,University of Pennsylvania Health System,"Philadelphia, PA",Dermatology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
1.0,University of Pennsylvania Health System,"Philadelphia, PA",Dermatology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
2.0,University of California (San Francisco),"San Francisco, CA",Dermatology,UPenn_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,Pacific West
3.0,Mass General Brigham/Massachusetts General Hospital/Beth Israel Deaconess Medical Center/Brigham and Women's Hosp,"Boston, MA",Dermatology,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
12.0,University of Miami/Jackson Health System,"Miami, FL",Dermatology,UPenn_match_list.csv,Miami,FL,25.784,-80.2101,6113982.0,4791.1,South Atlantic
18.0,Duke University Hospital,"Durham, NC",Dermatology,UPenn_match_list.csv,Durham,NC,35.9792,-78.9022,411362.0,953.9,South Atlantic
33.0,University of Washington,"Seattle, WA",Dermatology,UPenn_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,Pacific West
34.0,Montefiore Medical Center/Albert Einstein College of Medicine,"Bronx, NY",Dermatology,UPenn_match_list.csv,Bronx,NY,40.8501,-73.8662,1472654.0,13356.3,Middle Atlantic
35.0,Johns Hopkins University,"Baltimore, MD",Dermatology,UPenn_match_list.csv,Baltimore,MD,39.3051,-76.6144,2189589.0,2753.1,South Atlantic
70.0,University of Rochester,"Rochester, NY",Dermatology,UPenn_match_list.csv,Rochester,NY,43.168,-77.6162,694707.0,2264.3,Middle Atlantic
1.0,University of California (San Francisco),"San Francisco, CA",Diagnostic Radiology,UPenn_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,Pacific West
2.0,Mass General Brigham/Massachusetts General Hospital/Harvard Medical School,"Boston, MA",Diagnostic Radiology,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
5.0,University of Pennsylvania Health System,"Philadelphia, PA",Diagnostic Radiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
5.0,University of Pennsylvania Health System,"Philadelphia, PA",Diagnostic Radiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
5.0,University of Pennsylvania Health System,"Philadelphia, PA",Diagnostic Radiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
16.0,McGaw Medical Center of Northwestern University,"Chicago, IL",Diagnostic Radiology,UPenn_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,East North Central
3.0,University of Cincinnati Medical Center/College of Medicine,"Cincinnati, OH",Emergency Medicine,UPenn_match_list.csv,Cincinnati,OH,39.1413,-84.506,1704916.0,1534.2,East North Central
5.0,Los Angeles County-Harbor-UCLA Medical Center,"Torrance, CA",Emergency Medicine,UPenn_match_list.csv,Torrance,CA,33.8346,-118.3416,143499.0,2700.6,Pacific West
8.0,Cook County Health and Hospitals System,"Chicago, IL",Emergency Medicine,UPenn_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,East North Central
20.0,UCLA David Geffen School of Medicine/UCLA Medical Center/Olive View,"Los Angeles, CA",Emergency Medicine,UPenn_match_list.csv,Los Angeles,CA,34.1141,-118.4068,11885717.0,3165.8,Pacific West
22.0,Stanford Health Care-Sponsored Stanford University,"Palo Alto, CA",Emergency Medicine,UPenn_match_list.csv,Palo Alto,CA,37.3905,-122.1468,67231.0,1079.3,Pacific West
24.0,SUNY Downstate Health Sciences University,"Brooklyn, NY",Emergency Medicine,UPenn_match_list.csv,Brooklyn,NY,40.6501,-73.9496,2736074.0,15200.5,Middle Atlantic
24.0,SUNY Downstate Health Sciences University,"Brooklyn, NY",Emergency Medicine,UPenn_match_list.csv,Brooklyn,NY,40.6501,-73.9496,2736074.0,15200.5,Middle Atlantic
26.0,University of North Carolina Hospitals,"Chapel Hill, NC",Emergency Medicine,UPenn_match_list.csv,Chapel Hill,NC,35.9271,-79.0391,59889.0,1067.7,South Atlantic
31.0,Temple University Hospital,"Philadelphia, PA",Emergency Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
143.0,Lehigh Valley Health Network,"Bethlehem, PA",Emergency Medicine,UPenn_match_list.csv,Bethlehem,PA,40.6266,-75.3679,77069.0,1556.7,Middle Atlantic
27.0,University of Pennsylvania Health System,"Philadelphia, PA",Family Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
114.0,Stanford Health Care-Sponsored Stanford University,"San Jose, CA",Family Medicine,UPenn_match_list.csv,San Jose,CA,37.3012,-121.848,1771563.0,2148.3,Pacific West
1.0,University of Michigan,"Ann Arbor, MI",General Surgery,UPenn_match_list.csv,Ann Arbor,MI,42.2759,-83.731,314647.0,1651.5,East North Central
2.0,Mass General Brigham/Massachusetts General Hospital,"Boston, MA",General Surgery,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
6.0,Mass General Brigham/Brigham and Women's Hospital,"Boston, MA",General Surgery,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
7.0,University of Pennsylvania Health System,"Philadelphia, PA",General Surgery,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
7.0,University of Pennsylvania Health System,"Philadelphia, PA",General Surgery,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
15.0,UCLA David Geffen School of Medicine/UCLA Medical Center,"Los Angeles, CA",General Surgery,UPenn_match_list.csv,Los Angeles,CA,34.1141,-118.4068,11885717.0,3165.8,Pacific West
63.0,University of Rochester,"Rochester, NY",General Surgery,UPenn_match_list.csv,Rochester,NY,43.168,-77.6162,694707.0,2264.3,Middle Atlantic
2.0,Johns Hopkins University,"Baltimore, MD",Internal Medicine,UPenn_match_list.csv,Baltimore,MD,39.3051,-76.6144,2189589.0,2753.1,South Atlantic
3.0,University of California (San Francisco),"San Francisco, CA",Internal Medicine,UPenn_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,Pacific West
3.0,University of California (San Francisco),"San Francisco, CA",Internal Medicine,UPenn_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,Pacific West
4.0,Mass General Brigham/Brigham and Women's Hospital,"Boston, MA",Internal Medicine,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
4.0,Mass General Brigham/Brigham and Women's Hospital,"Boston, MA",Internal Medicine,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
4.0,Mass General Brigham/Brigham and Women's Hospital,"Boston, MA",Internal Medicine,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
4.0,Mass General Brigham/Brigham and Women's Hospital,"Boston, MA",Internal Medicine,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,New England
6.0,Duke University Hospital,"Durham, NC",Internal Medicine,UPenn_match_list.csv,Durham,NC,35.9792,-78.9022,411362.0,953.9,South Atlantic
7.0,University of Michigan,"Ann Arbor, MI",Internal Medicine,UPenn_match_list.csv,Ann Arbor,MI,42.2759,-83.731,314647.0,1651.5,East North Central
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Internal Medicine,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,Middle Atlantic
