Rank,Program,Location,Specialty,SourceFile,city,state_id,lat,lng,population,density,Year,School,geographic US location
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
14.0,NYU Grossman School of Medicine,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
15.0,Vanderbilt University Medical Center,"Nashville, TN",Internal Medicine,NYU_match_list.csv,Nashville,TN,36.1715,-86.7842,1178679.0,555.6,,NYU,East South Central
17.0,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
17.0,Icahn School of Medicine at Mount Sinai/Mount Sinai Hospital,"New York, NY",Internal Medicine,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
19.0,Stanford Health Care-Sponsored Stanford University,"Stanford, CA",Internal Medicine,NYU_match_list.csv,Stanford,CA,37.4252,-122.1674,17958.0,2520.9,,NYU,Pacific West
20.0,Beth Israel Deaconess Medical Center,"Boston, MA",Internal Medicine,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
32.0,University of Colorado,"Aurora, CO",Internal Medicine,NYU_match_list.csv,Aurora,CO,39.7083,-104.7237,390201.0,924.2,,NYU,Mountain West
32.0,University of Colorado,"Aurora, CO",Internal Medicine,NYU_match_list.csv,Aurora,CO,39.7083,-104.7237,390201.0,924.2,,NYU,Mountain West
346.0,Virginia Mason Franciscan Health,"Seattle, WA",Internal Medicine,NYU_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,,NYU,Pacific West
1.0,Barrow Neurological Institute at St Joseph's Hospital and Medical Center,"Phoenix, AZ",Neurological Surgery,NYU_match_list.csv,Phoenix,AZ,33.5722,-112.0892,4065338.0,1210.3,,NYU,Mountain West
1.0,University of California (San Francisco),"San Francisco, CA",Neurology,NYU_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,,NYU,Pacific West
8.0,University of Michigan,"Ann Arbor, MI",Neurology,NYU_match_list.csv,Ann Arbor,MI,42.2759,-83.731,314647.0,1651.5,,NYU,East North Central
9.0,NYU Grossman School of Medicine,"New York, NY",Neurology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
22.0,New York Presbyterian Hospital (Cornell Campus),"New York, NY",Neurology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
30.0,Montefiore Medical Center/Albert Einstein College of Medicine,"Bronx, NY",Neurology,NYU_match_list.csv,Bronx,NY,40.8501,-73.8662,1472654.0,13356.3,,NYU,Middle Atlantic
1.0,McGaw Medical Center of Northwestern University,"Chicago, IL",Obstetrics and Gynecology,NYU_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,,NYU,East North Central
11.0,NYU Grossman School of Medicine,"New York, NY",Obstetrics and Gynecology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
11.0,NYU Grossman School of Medicine,"New York, NY",Obstetrics and Gynecology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
22.0,Montefiore Medical Center/Albert Einstein College of Medicine,"Bronx, NY",Obstetrics and Gynecology,NYU_match_list.csv,Bronx,NY,40.8501,-73.8662,1472654.0,13356.3,,NYU,Middle Atlantic
66.0,NYU Grossman Long Island School of Medicine,"Mineola, NY",Obstetrics and Gynecology,NYU_match_list.csv,Mineola,NY,40.747,-73.6394,21082.0,4397.2,,NYU,Middle Atlantic
114.0,Temple University Hospital,"Philadelphia, PA",Obstetrics and Gynecology,NYU_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,,NYU,Middle Atlantic
122.0,Kaiser Permanente Northern California (Oakland),"Oakland, CA",Obstetrics and Gynecology,NYU_match_list.csv,Oakland,CA,37.7904,-122.2166,438072.0,3022.3,,NYU,Pacific West
43.0,NYU Grossman School Of Medicine,"New York, NY",Ophthalmology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
1.0,Bascom Palmer Eye Institute/University of Miami,"Miami, FL",Ophthalmology,NYU_match_list.csv,Miami,FL,25.784,-80.2101,6113982.0,4791.1,,NYU,South Atlantic
35.0,Scheie Eye Institute Penn Presbyterian,"Philadelphia, PA",Ophthalmology,NYU_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,,NYU,Middle Atlantic
43.0,NYU Grossman School Of Medicine,"New York, NY",Ophthalmology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
47.0,Loyola Univ Med Ctr,"Maywood, IL",Ophthalmology,NYU_match_list.csv,Maywood,IL,41.8798,-87.8442,23173.0,3292.5,,NYU,East North Central
1.0,Hospital for Special Surgery/Cornell Medical Center,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
4.0,NYU Grossman School of Medicine/NYU Langone Orthopedic Hospital,"New York, NY",Orthopaedic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
34.0,Oregon Health & Science University (OHSU Health),"Portland, OR",Otolaryngology,NYU_match_list.csv,Portland,OR,45.5371,-122.65,2084045.0,1859.0,,NYU,Pacific West
41.0,NYU Grossman School of Medicine,"New York, NY",Otolaryngology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
42.0,New York Presbyterian Hospital (Columbia and Cornell Campus),"New York, NY",Otolaryngology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
28.0,NYU Grossman School of Medicine,"New York, NY",Pathology,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
1.0,Children's Hospital of Philadelphia,"Philadelphia, PA",Pediatrics,NYU_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,,NYU,Middle Atlantic
2.0,Boston Children's Hospital/Boston Medical Center,"Boston, MA",Pediatrics,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
5.0,University of Washington,"Seattle, WA",Pediatrics,NYU_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,,NYU,Pacific West
8.0,Children's National Hospital,"Washington, DC",Pediatrics,NYU_match_list.csv,Washington,DC,38.9047,-77.0163,5146120.0,4245.2,,NYU,South Atlantic
27.0,UCLA David Geffen School of Medicine/UCLA Medical Center,"Los Angeles, CA",Pediatrics,NYU_match_list.csv,Los Angeles,CA,34.1141,-118.4068,11885717.0,3165.8,,NYU,Pacific West
55.0,New York Presbyterian Hospital (Cornell Campus),"New York, NY",Pediatrics,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
56.0,Zucker School of Medicine at Hofstra/Northwell at Cohen Children's Medical Center,"New Hyde Park, NY",Pediatrics,NYU_match_list.csv,New Hyde Park,NY,40.7323,-73.6858,10208.0,4649.1,,NYU,Middle Atlantic
,Stanford Health Care-CA,"Stanford, CA",,NYU_match_list.csv,Stanford,CA,37.4252,-122.1674,17958.0,2520.9,,NYU,Pacific West
1.0,NYU Grossman School of Medicine,"New York, NY",Plastic Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
12.0,Ohio State University Hospital,"Columbus, OH",Plastic Surgery,NYU_match_list.csv,Columbus,OH,39.9862,-82.9855,1578153.0,1585.7,,NYU,East North Central
17.0,Baylor College of Medicine,"Houston, TX",Plastic Surgery,NYU_match_list.csv,Houston,TX,29.786,-95.3885,6046392.0,1386.5,,NYU,West South Central
57.0,Oregon Health & Science University (OHSU Health),"Portland, OR",Plastic Surgery,NYU_match_list.csv,Portland,OR,45.5371,-122.65,2084045.0,1859.0,,NYU,Pacific West
,NYU Grossman School Of Medicine-NY,"New York, NY",PM&R,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
1.0,Mass General Brigham/Massachusetts General Hospital/McLean Hospital,"Boston, MA",Psychiatry,NYU_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,,NYU,New England
2.0,New York Presbyterian Hospital (Columbia Campus)/New York State Psychiatric Institute,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
5.0,NYU Grossman School of Medicine,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
5.0,NYU Grossman School of Medicine,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
5.0,NYU Grossman School of Medicine,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
24.0,McGaw Medical Center of Northwestern University,"Chicago, IL",Psychiatry,NYU_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,,NYU,East North Central
42.0,Icahn School of Medicine at Mount Sinai/Morningside/West,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
,ISMMS Mount Sinai Hospital-NY,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
,ISMMS Mount Sinai Hospital-NY,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
,ISMMS Mount Sinai Hospital-NY,"New York, NY",Psychiatry,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
34.0,NYU Grossman School of Medicine,"New York, NY",Vascular Surgery,NYU_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,NYU,Middle Atlantic
32.0,Ohio State University Med Ctr,"Columbus, OH",Anesthesiology,Carle Illinois_match_list.csv,Columbus,OH,39.9862,-82.9855,1578153.0,1585.7,,Carle Illinois,East North Central
87.0,U Illinois COM-Chicago,"Chicago, IL",Anesthesiology,Carle Illinois_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,,Carle Illinois,East North Central
81.0,Lahey Clinic-MA,"Burlington, MA",Anesthesiology,Carle Illinois_match_list.csv,Burlington,MA,,,,,,Carle Illinois,New England
2.0,UniversityÊof California -SF,"San Francisco, CA",Anesthesiology,Carle Illinois_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,,Carle Illinois,Pacific West
92.0,Loyola Univ Med Ctr-IL,"Chicago, IL",Anesthesiology,Carle Illinois_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,,Carle Illinois,East North Central
39.0,Johns Hopkins Hosp-MD,"Baltimore, MD",Emergency Medicine,Carle Illinois_match_list.csv,Baltimore,MD,39.3051,-76.6144,2189589.0,2753.1,,Carle Illinois,South Atlantic
73.0,U Iowa Hospitals & Clinics,"Iowa City, IA",Emergency Medicine,Carle Illinois_match_list.csv,Iowa City,IA,41.6559,-91.5303,129897.0,1128.0,,Carle Illinois,West North Central
171.0,New York-Presbyterian/Queens,"New York, NY",Emergency Medicine,Carle Illinois_match_list.csv,New York,NY,40.6943,-73.9249,18832416.0,10943.7,,Carle Illinois,Middle Atlantic
36.0,U Washington Affil Hosps,"Seattle, WA",Emergency Medicine,Carle Illinois_match_list.csv,Seattle,WA,47.6211,-122.3244,3555253.0,3408.0,,Carle Illinois,Pacific West
172.0,University of Utah Health,"Salt Lake City, UT",Family Medicine,Carle Illinois_match_list.csv,Salt Lake City,UT,40.7776,-111.9311,1169033.0,709.9,,Carle Illinois,Mountain West
55.0,U New Mexico SOM,"Albuquerque, NM",Family Medicine,Carle Illinois_match_list.csv,Albuquerque,NM,35.1054,-106.6465,767499.0,1159.7,,Carle Illinois,Mountain West
173.0,Carilion Clinic-Virginia Tech Carilion SOM,"Roanoke, VA",Family Medicine,Carle Illinois_match_list.csv,Roanoke,VA,37.2785,-79.9581,214019.0,896.0,,Carle Illinois,South Atlantic
,U Illinois COM-Chicago,"Chicago, IL",General Surgery,Carle Illinois_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,,Carle Illinois,East North Central
14.0,Stanford Health Care-CA,"Palo Alto, CA",General Surgery,Carle Illinois_match_list.csv,Palo Alto,CA,37.3905,-122.1468,67231.0,1079.3,,Carle Illinois,Pacific West
106.0,Albany Med Ctr-NY,"Albany, NY",General Surgery,Carle Illinois_match_list.csv,Albany,NY,42.6664,-73.7987,602242.0,1805.4,,Carle Illinois,Middle Atlantic
243.0,U Minnesota Med School,"Duluth, MN",General Surgery,Carle Illinois_match_list.csv,Duluth,MN,46.7756,-92.1393,120443.0,468.0,,Carle Illinois,West North Central
114.0,U Kansas SOM-Kansas City,"Kansas City, KS",General Surgery,Carle Illinois_match_list.csv,Kansas City,KS,39.1235,-94.7443,154776.0,479.1,,Carle Illinois,West North Central
306.0,WellStar Health System-GA,"Marietta, GA",General Surgery,Carle Illinois_match_list.csv,Marietta,GA,33.9533,-84.5422,61773.0,1014.6,,Carle Illinois,South Atlantic
275.0,Carle Foundation Hosp-IL,"Urbana, IL",General Surgery,Carle Illinois_match_list.csv,Urbana,IL,40.1107,-88.1973,38447.0,1253.6,,Carle Illinois,East North Central
,Riverside Community Hospital-CA,"Riverside, CA",Internal Medicine,Carle Illinois_match_list.csv,Riverside,CA,33.9381,-117.3949,2288508.0,1504.7,,Carle Illinois,Pacific West
121.0,Kaiser Permanente-SF-CA,"San Francisco, CA",Internal Medicine,Carle Illinois_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,,Carle Illinois,Pacific West
62.0,UC Davis Med Ctr-CA,"Sacramento, CA",Internal Medicine,Carle Illinois_match_list.csv,Sacramento,CA,38.5677,-121.4685,1962998.0,2054.1,,Carle Illinois,Pacific West
47.0,U Wisconsin Hospital and Clinics,"Madison, WI",Internal Medicine,Carle Illinois_match_list.csv,Madison,WI,43.0822,-89.393,460255.0,1280.5,,Carle Illinois,East North Central
69.0,U Illinois COM-Chicago,"Chicago, IL",Internal Medicine,Carle Illinois_match_list.csv,Chicago,IL,41.8375,-87.6866,8489066.0,4590.3,,Carle Illinois,East North Central
146.0,SIU SOM & Affil Hosps-IL,"Quincy, IL",Neurology,Carle Illinois_match_list.csv,Quincy,IL,39.9336,-91.3799,39188.0,959.6,,Carle Illinois,East North Central
50.0,UC San Diego Med Ctr-CA,"San Diego, CA",Neurology,Carle Illinois_match_list.csv,San Diego,CA,32.8313,-117.1222,3057778.0,1640.0,,Carle Illinois,Pacific West
49.0,Zucker SOM-Northwell Mather Hosp-NY,"Hempstead, NY",Neurology,Carle Illinois_match_list.csv,Hempstead,NY,,,,,,Carle Illinois,Middle Atlantic
24.0,Stanford Health Care-CA,"Palo Alto, CA",Neurological Surgery,Carle Illinois_match_list.csv,Palo Alto,CA,37.3905,-122.1468,67231.0,1079.3,,Carle Illinois,Pacific West
48.0,Henry Ford Hospital-MI,"Detroit, MI",Neurological Surgery,Carle Illinois_match_list.csv,Detroit,MI,42.3834,-83.1024,3716929.0,1771.8,,Carle Illinois,East North Central
74.0,Indiana University SOM,"Indianapolis, IN",Obstetrics and Gynecology,Carle Illinois_match_list.csv,Indianapolis,IN,39.7771,-86.1458,1740984.0,943.3,,Carle Illinois,East North Central
123.0,Kaiser Permanente-Los Angeles-CA,"Los Angeles, CA",Obstetrics and Gynecology,Carle Illinois_match_list.csv,Los Angeles,CA,34.1141,-118.4068,11885717.0,3165.8,,Carle Illinois,Pacific West
91.0,Corewell Health-MI,"Grand Rapids, MI",Obstetrics and Gynecology,Carle Illinois_match_list.csv,Grand Rapids,MI,42.9619,-85.6562,611480.0,1705.4,,Carle Illinois,East North Central
162.0,Carilion Clinic-Virginia Tech Carilion SOM,"Roanoke, VA",Obstetrics and Gynecology,Carle Illinois_match_list.csv,Roanoke,VA,37.2785,-79.9581,214019.0,896.0,,Carle Illinois,South Atlantic
62.0,West Virginia University,"Morgantown, WV",Ophthalmology,Carle Illinois_match_list.csv,Morgantown,WV,39.6383,-79.9464,80626.0,1148.2,,Carle Illinois,South Atlantic
9.0,Hosp of the Univ of PA,"Philadelphia, PA",Otolaryngology,Carle Illinois_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,,Carle Illinois,Middle Atlantic
6.0,Stanford Health Care-CA,"Palo Alto, CA",Otolaryngology,Carle Illinois_match_list.csv,Palo Alto,CA,37.3905,-122.1468,67231.0,1079.3,,Carle Illinois,Pacific West
58.0,Yale-New Haven Hosp-CT,"New Haven, CT",Otolaryngology,Carle Illinois_match_list.csv,New Haven,CT,41.3113,-72.9246,565056.0,2745.3,,Carle Illinois,New England
97.0,U Maryland Med Ctr,"Baltimore, MD",Pediatrics,Carle Illinois_match_list.csv,Baltimore,MD,39.3051,-76.6144,2189589.0,2753.1,,Carle Illinois,South Atlantic
188.0,Carle Foundation Hosp-IL,"Urbana, IL",Psychiatry,Carle Illinois_match_list.csv,Urbana,IL,40.1107,-88.1973,38447.0,1253.6,,Carle Illinois,East North Central
37.0,Transitional -St Lukes Hosp-Bethlehem-PA/U North Carolina Hospitals,"Chapel Hill, NC",Diagnostic Radiology,Carle Illinois_match_list.csv,Chapel Hill,NC,35.9271,-79.0391,59889.0,1067.7,,Carle Illinois,South Atlantic
79.0,Surgery-General - SSM Health/St Louis Univ SOM-MO - Dx RadiologyÐU Wisconsin Hospital and Clinics,"Saint Louis, MO",Diagnostic Radiology,Carle Illinois_match_list.csv,Saint Louis,MO,,,,,,Carle Illinois,West North Central
2.0,University of California (San Francisco),"San Francisco, CA",Anesthesiology,UPenn_match_list.csv,San Francisco,CA,37.7558,-122.4449,3364862.0,6914.5,2024.0,UPenn,Pacific West
3.0,Stanford Health Care-Sponsored Stanford University,"Stanford, CA",Anesthesiology,UPenn_match_list.csv,Stanford,CA,37.4252,-122.1674,17958.0,2520.9,2024.0,UPenn,Pacific West
4.0,Mass General Brigham/Brigham and Women's Hospital,"Boston, MA",Anesthesiology,UPenn_match_list.csv,Boston,MA,42.3188,-71.0852,4355184.0,5303.3,2024.0,UPenn,New England
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Anesthesiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,2024.0,UPenn,Middle Atlantic
8.0,University of Pennsylvania Health System,"Philadelphia, PA",Anesthesiology,UPenn_match_list.csv,Philadelphia,PA,40.0077,-75.1339,5696588.0,4547.5,2024.0,UPenn,Middle Atlantic
